frac, num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
single,4,3,0.8,0.8,50,90,2,770,10,413,0.6460251046025105,0.16666666666666666,0.004819277108433735,0.00936768149882904
single,4,3,0.8,0.8,50,95,0,773,7,415,0.6468619246861924,0.0,0.0,0
single,4,3,0.8,0.8,50,100,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,50,105,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,50,110,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,50,115,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,55,40,406,146,634,9,0.4619246861924686,0.3903846153846154,0.9783132530120482,0.5580756013745705
single,4,3,0.8,0.8,55,45,399,218,562,16,0.5163179916317991,0.41519250780437045,0.9614457831325302,0.5799418604651163
single,4,3,0.8,0.8,55,50,381,302,478,34,0.5715481171548117,0.4435389988358556,0.9180722891566265,0.5981161695447409
single,4,3,0.8,0.8,55,55,345,428,352,70,0.6468619246861924,0.4949784791965567,0.8313253012048193,0.6205035971223022
single,4,3,0.8,0.8,55,60,298,525,255,117,0.6887029288702929,0.538878842676311,0.7180722891566265,0.615702479338843
single,4,3,0.8,0.8,55,65,252,605,175,163,0.7171548117154811,0.5901639344262295,0.6072289156626506,0.5985748218527317
single,4,3,0.8,0.8,55,70,182,674,106,233,0.7163179916317992,0.6319444444444444,0.43855421686746987,0.5177809388335703
single,4,3,0.8,0.8,55,75,113,729,51,302,0.704602510460251,0.6890243902439024,0.27228915662650605,0.3903281519861831
single,4,3,0.8,0.8,55,80,55,753,27,360,0.6761506276150627,0.6707317073170732,0.13253012048192772,0.22132796780684108
single,4,3,0.8,0.8,55,85,20,765,15,395,0.6569037656903766,0.5714285714285714,0.04819277108433735,0.08888888888888889
single,4,3,0.8,0.8,55,90,8,769,11,407,0.6502092050209205,0.42105263157894735,0.01927710843373494,0.03686635944700461
single,4,3,0.8,0.8,55,95,4,769,11,411,0.6468619246861924,0.26666666666666666,0.00963855421686747,0.018604651162790697
single,4,3,0.8,0.8,55,100,2,772,8,413,0.6476987447698744,0.2,0.004819277108433735,0.009411764705882354
single,4,3,0.8,0.8,55,105,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,55,110,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,55,115,0,775,5,415,0.6485355648535565,0.0,0.0,0
single,4,3,0.8,0.8,60,40,411,116,664,4,0.4410041841004184,0.38232558139534883,0.9903614457831326,0.5516778523489932
single,4,3,0.8,0.8,60,45,405,163,617,10,0.47531380753138075,0.39628180039138944,0.9759036144578314,0.5636743215031316
single,4,3,0.8,0.8,60,50,397,227,553,18,0.5221757322175732,0.41789473684210526,0.9566265060240964,0.5816849816849816
single,4,3,0.8,0.8,60,55,377,327,453,38,0.5891213389121339,0.4542168674698795,0.908433734939759,0.6056224899598392
single,4,3,0.8,0.8,60,60,347,429,351,68,0.6493723849372385,0.497134670487106,0.8361445783132531,0.6235399820305481
single,4,3,0.8,0.8,60,65,298,521,259,117,0.6853556485355649,0.5350089766606823,0.7180722891566265,0.6131687242798354
single,4,3,0.8,0.8,60,70,256,602,178,159,0.7179916317991631,0.5898617511520737,0.6168674698795181,0.6030624263839812
single,4,3,0.8,0.8,60,75,185,676,104,230,0.7205020920502092,0.6401384083044983,0.4457831325301205,0.5255681818181818
single,4,3,0.8,0.8,60,80,123,725,55,292,0.7096234309623431,0.6910112359550562,0.2963855421686747,0.41483979763912304
single,4,3,0.8,0.8,60,85,63,753,27,352,0.6828451882845188,0.7,0.15180722891566265,0.24950495049504948
single,4,3,0.8,0.8,60,90,33,764,16,382,0.6669456066945607,0.673469387755102,0.07951807228915662,0.14224137931034483
single,4,3,0.8,0.8,60,95,13,766,14,402,0.6518828451882845,0.48148148148148145,0.03132530120481928,0.05882352941176471
single,4,3,0.8,0.8,60,100,6,770,10,409,0.6493723849372385,0.375,0.014457831325301205,0.027842227378190254
single,4,3,0.8,0.8,60,105,1,770,10,414,0.6451882845188285,0.09090909090909091,0.0024096385542168677,0.004694835680751174
single,4,3,0.8,0.8,60,110,1,773,7,414,0.6476987447698744,0.125,0.0024096385542168677,0.0047281323877068565
single,4,3,0.8,0.8,60,115,0,774,6,415,0.6476987447698744,0.0,0.0,0
single,4,3,0.8,0.8,65,40,412,77,703,3,0.4092050209205021,0.3695067264573991,0.9927710843373494,0.5385620915032681
single,4,3,0.8,0.8,65,45,411,120,660,4,0.44435146443514645,0.38375350140056025,0.9903614457831326,0.5531628532974429
single,4,3,0.8,0.8,65,50,402,168,612,13,0.4769874476987448,0.39644970414201186,0.9686746987951808,0.562631210636809
single,4,3,0.8,0.8,65,55,395,252,528,20,0.5414225941422595,0.4279523293607801,0.9518072289156626,0.5904334828101644
single,4,3,0.8,0.8,65,60,378,332,448,37,0.5941422594142259,0.4576271186440678,0.9108433734939759,0.6091861402095085
single,4,3,0.8,0.8,65,65,345,422,358,70,0.6418410041841004,0.4907539118065434,0.8313253012048193,0.6171735241502683
single,4,3,0.8,0.8,65,70,304,503,277,111,0.6753138075313807,0.5232358003442341,0.7325301204819277,0.6104417670682731
single,4,3,0.8,0.8,65,75,267,586,194,148,0.7138075313807531,0.579175704989154,0.6433734939759036,0.6095890410958904
single,4,3,0.8,0.8,65,80,193,670,110,222,0.7221757322175733,0.636963696369637,0.4650602409638554,0.5376044568245125
single,4,3,0.8,0.8,65,85,135,715,65,280,0.7112970711297071,0.675,0.3253012048192771,0.4390243902439024
single,4,3,0.8,0.8,65,90,90,745,35,325,0.698744769874477,0.72,0.21686746987951808,0.3333333333333333
single,4,3,0.8,0.8,65,95,51,761,19,364,0.6794979079497908,0.7285714285714285,0.12289156626506025,0.21030927835051547
single,4,3,0.8,0.8,65,100,25,765,15,390,0.6610878661087866,0.625,0.060240963855421686,0.10989010989010989
