num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
3,1,0.6,0.8,55,85,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,55,90,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,55,95,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,55,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,55,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,55,110,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,55,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,40,42,40,56,6,0.5694444444444444,0.42857142857142855,0.875,0.5753424657534246
3,1,0.6,0.8,60,45,38,54,42,10,0.6388888888888888,0.475,0.7916666666666666,0.5937499999999999
3,1,0.6,0.8,60,50,32,76,20,16,0.75,0.6153846153846154,0.6666666666666666,0.64
3,1,0.6,0.8,60,55,22,84,12,26,0.7361111111111112,0.6470588235294118,0.4583333333333333,0.5365853658536585
3,1,0.6,0.8,60,60,12,90,6,36,0.7083333333333334,0.6666666666666666,0.25,0.36363636363636365
3,1,0.6,0.8,60,65,8,91,5,40,0.6875,0.6153846153846154,0.16666666666666666,0.26229508196721313
3,1,0.6,0.8,60,70,2,94,2,46,0.6666666666666666,0.5,0.041666666666666664,0.07692307692307693
3,1,0.6,0.8,60,75,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,60,80,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,85,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,90,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,95,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,110,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,60,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,65,40,45,33,63,3,0.5416666666666666,0.4166666666666667,0.9375,0.5769230769230769
3,1,0.6,0.8,65,45,41,44,52,7,0.5902777777777778,0.44086021505376344,0.8541666666666666,0.5815602836879433
3,1,0.6,0.8,65,50,38,64,32,10,0.7083333333333334,0.5428571428571428,0.7916666666666666,0.6440677966101694
3,1,0.6,0.8,65,55,28,79,17,20,0.7430555555555556,0.6222222222222222,0.5833333333333334,0.6021505376344085
3,1,0.6,0.8,65,60,21,86,10,27,0.7430555555555556,0.6774193548387096,0.4375,0.5316455696202531
3,1,0.6,0.8,65,65,9,90,6,39,0.6875,0.6,0.1875,0.2857142857142857
3,1,0.6,0.8,65,70,7,93,3,41,0.6944444444444444,0.7,0.14583333333333334,0.2413793103448276
3,1,0.6,0.8,65,75,3,95,1,45,0.6805555555555556,0.75,0.0625,0.11538461538461539
3,1,0.6,0.8,65,80,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,65,85,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,65,90,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,65,95,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,65,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,65,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,65,110,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,65,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,70,40,46,28,68,2,0.5138888888888888,0.40350877192982454,0.9583333333333334,0.5679012345679012
3,1,0.6,0.8,70,45,45,37,59,3,0.5694444444444444,0.4326923076923077,0.9375,0.5921052631578948
3,1,0.6,0.8,70,50,39,50,46,9,0.6180555555555556,0.4588235294117647,0.8125,0.5864661654135339
3,1,0.6,0.8,70,55,37,67,29,11,0.7222222222222222,0.5606060606060606,0.7708333333333334,0.6491228070175438
3,1,0.6,0.8,70,60,29,74,22,19,0.7152777777777778,0.5686274509803921,0.6041666666666666,0.5858585858585857
3,1,0.6,0.8,70,65,19,83,13,29,0.7083333333333334,0.59375,0.3958333333333333,0.47500000000000003
3,1,0.6,0.8,70,70,10,90,6,38,0.6944444444444444,0.625,0.20833333333333334,0.3125
3,1,0.6,0.8,70,75,7,92,4,41,0.6875,0.6363636363636364,0.14583333333333334,0.23728813559322035
3,1,0.6,0.8,70,80,2,93,3,46,0.6597222222222222,0.4,0.041666666666666664,0.07547169811320754
3,1,0.6,0.8,70,85,1,94,2,47,0.6597222222222222,0.3333333333333333,0.020833333333333332,0.0392156862745098
3,1,0.6,0.8,70,90,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,70,95,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,70,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,70,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,70,110,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,70,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,75,40,46,23,73,2,0.4791666666666667,0.3865546218487395,0.9583333333333334,0.5508982035928144
3,1,0.6,0.8,75,45,46,32,64,2,0.5416666666666666,0.41818181818181815,0.9583333333333334,0.5822784810126582
3,1,0.6,0.8,75,50,42,39,57,6,0.5625,0.42424242424242425,0.875,0.5714285714285714
3,1,0.6,0.8,75,55,38,55,41,10,0.6458333333333334,0.4810126582278481,0.7916666666666666,0.5984251968503937
3,1,0.6,0.8,75,60,37,66,30,11,0.7152777777777778,0.5522388059701493,0.7708333333333334,0.6434782608695653
3,1,0.6,0.8,75,65,28,76,20,20,0.7222222222222222,0.5833333333333334,0.5833333333333334,0.5833333333333334
3,1,0.6,0.8,75,70,16,86,10,32,0.7083333333333334,0.6153846153846154,0.3333333333333333,0.43243243243243246
3,1,0.6,0.8,75,75,9,89,7,39,0.6805555555555556,0.5625,0.1875,0.28125
3,1,0.6,0.8,75,80,7,93,3,41,0.6944444444444444,0.7,0.14583333333333334,0.2413793103448276
3,1,0.6,0.8,75,85,2,93,3,46,0.6597222222222222,0.4,0.041666666666666664,0.07547169811320754
3,1,0.6,0.8,75,90,1,95,1,47,0.6666666666666666,0.5,0.020833333333333332,0.039999999999999994
3,1,0.6,0.8,75,95,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,75,100,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,75,105,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,75,110,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,75,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,80,40,46,20,76,2,0.4583333333333333,0.3770491803278688,0.9583333333333334,0.5411764705882353
3,1,0.6,0.8,80,45,46,27,69,2,0.5069444444444444,0.4,0.9583333333333334,0.5644171779141104
3,1,0.6,0.8,80,50,46,34,62,2,0.5555555555555556,0.42592592592592593,0.9583333333333334,0.5897435897435898
3,1,0.6,0.8,80,55,40,42,54,8,0.5694444444444444,0.425531914893617,0.8333333333333334,0.5633802816901409
3,1,0.6,0.8,80,60,37,57,39,11,0.6527777777777778,0.4868421052631579,0.7708333333333334,0.5967741935483871
3,1,0.6,0.8,80,65,35,65,31,13,0.6944444444444444,0.5303030303030303,0.7291666666666666,0.6140350877192983
3,1,0.6,0.8,80,70,27,78,18,21,0.7291666666666666,0.6,0.5625,0.5806451612903225
3,1,0.6,0.8,80,75,16,86,10,32,0.7083333333333334,0.6153846153846154,0.3333333333333333,0.43243243243243246
3,1,0.6,0.8,80,80,11,89,7,37,0.6944444444444444,0.6111111111111112,0.22916666666666666,0.33333333333333337
3,1,0.6,0.8,80,85,7,93,3,41,0.6944444444444444,0.7,0.14583333333333334,0.2413793103448276
3,1,0.6,0.8,80,90,3,93,3,45,0.6666666666666666,0.5,0.0625,0.1111111111111111
3,1,0.6,0.8,80,95,1,95,1,47,0.6666666666666666,0.5,0.020833333333333332,0.039999999999999994
3,1,0.6,0.8,80,100,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,80,105,0,95,1,48,0.6597222222222222,0.0,0.0,0
3,1,0.6,0.8,80,110,0,96,0,48,0.6666666666666666,0,0.0,0
